Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
Holcim Australia – Burdetts Group,Notification,MN-05044,HOLCIM (AUSTRALIA) PTY LTD; 87 099 732 297,Burdett Group Pty Ltd; 158 557 718,Mining; Manufacturing,,2026-08-10,Phase 1 - initial assessment,Under assessment,2026-09-21,42.0,31.0,,,,,0911 Gravel and Sand Quarrying; 0919 Other Construction Material Mining; 2033 Ready-Mixed Concrete Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/holcim-australia-%E2%80%93-burdetts-group,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 18 August 2026 via email to mergers@accc.gov.au with the title Submission re: Holcim Australia – Burdetts Group. read more 10 Aug 2026 Questionnaire - Holcim Australia - Burdetts Group Attachment 116.68 KB,Y,10 Aug 2026: Questionnaire - Holcim Australia - Burdetts Group,2026-08-10T18:02:35+10:00,2026-08-11T01:56:49.469233Z
The Independents Group – acquisition of entities within the Smuggler Group,Notification,MN-35034,The Independents Creative Collective UK Ltd.; Identifying number - 04243407; The Independents Group Inc.; Identifying number - 3414791,Smuggler Experience LLC (including shell subsidiary Lux a Deo LLC); Identifying number - 202462414150; Sidepiece LLC; Identifying number - 5134914; Division 7 LLC; Identifying number - 7088711; Smuggler LLC; Identifying number - 6877804; Smuggler London Ltd; Identifying number - 06806477,Media and Entertainment; Asset Management and Investment; Professional Services; Gambling,ELOCGA; Identifying number - B209477; K10 Holding SA; Identifying number - B214433; LOV Group Invest; Identifying number - 494 031 008; TowerBrook Capital Partners L.P.; Identifying number - 3922576,2026-08-07,Phase 1 - initial assessment,Under assessment,2026-09-18,42.0,31.0,,,,,5511 Motion Picture and Video Production; 5514 Post-production Services and Other Motion Picture and Video Activities; 6240 Financial Asset Investing; 6940 Advertising Services; 6962 Management Advice and Related Consulting Services; 9139 Amusement and Other Recreational Activities n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/the-independents-group-%E2%80%93-acquisition-of-entities-within-the-smuggler-group,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 17 August 2026 via email to mergers@accc.gov.au with the title Submission re: The Independents Group – acquisition of entities within the Smuggler Group. read more The Independents Group – acquisition of entities within the Smuggler Group - Questionnaire Attachment 61.06 KB,Y,,2026-08-10T13:42:05+10:00,2026-08-11T01:56:49.469233Z
Wesfarmers and Built Group - Built Living Joint Venture,Notification,MN-65021,Wesfarmers Built Pty Ltd; 698 309 509; Built Living (Built Investor) Pty Limited; 71 698 095 831,Built Living Holdings Pty Limited; 39 698 096 945,Manufacturing; Construction and Engineering; Retail Trade; Asset Management and Investment,Wesfarmers Holdings Pty Ltd; 23 094 800 665; Wesfarmers Limited; 28 008 984 049; Built Group Holdings Pty Limited; 88 163 462 637,2026-08-06,Phase 1 - initial assessment,Under assessment,2026-09-17,42.0,31.0,,,,,"1831 Fertiliser Manufacturing; 3019 Other Residential Building Construction; 3020 Non-Residential Building Construction; 4222 Computer and Computer Peripheral Retailing; 4231 Hardware and Building Supplies Retailing; 4260 Department Stores; 4271 Pharmaceutical, Cosmetic and Toiletry Goods Retailing; 4272 Stationery Goods Retailing; 6240 Financial Asset Investing",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/wesfarmers-and-built-group-built-living-joint-venture,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 14 August 2026 via email to mergers@accc.gov.au with the title Submission re: Wesfarmers and Built Group – Built Living Joint Venture. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 7 Aug 2026 Questionnaire - Wesfarmers and Built Group – Built Living Joint Venture Attachment 116.42 KB,Y,7 Aug 2026: Questionnaire - Wesfarmers and Built Group – Built Living Joint Venture,2026-08-07T09:45:31+10:00,2026-08-11T01:56:49.469233Z
Osmoflo Water Management - Guidera O'Connor,Notification,MN-35031,OSMOFLO WATER MANAGEMENT PTY LTD; 62 608 078 459,Iain Harvey Wood; Anthony Mark Guidera; Laszlo Richard Bachmayer; GUIDERA O'CONNOR PTY LTD; 71 099 012 870; Straight Talking Pty Ltd; 008 068 308; WILLCAM NOMINEES PTY LTD; 93 063 325 146,Manufacturing; Construction and Engineering,Kanadevia Corporation; OSMOFLO PTY LTD; 39 050 952 175; Michael William O'Connor; Stephen Michael Palyga,2026-08-06,Phase 1 - initial assessment,Under assessment,2026-09-17,42.0,31.0,,,,,2499 Other Machinery and Equipment Manufacturing n.e.c.; 3109 Other Heavy and Civil Engineering Construction,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/osmoflo-water-management-guidera-oconnor,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 17 August 2026 via email to mergers@accc.gov.au with the title Submission re: Osmoflo — Guidera O'Connor. The ACCC's ability to give detailed consideration to submissions received after this time may be limited. read more 10 Aug 2026 Osmoflo - Guidera O'Connor - Questionnaire Attachment 118.03 KB,Y,10 Aug 2026: Osmoflo - Guidera O'Connor - Questionnaire,2026-08-10T11:00:01+10:00,2026-08-11T01:56:49.469233Z
"Australian Venue Co – assets of Black Nugget Hotel Motel, Bartletts Tavern and all associated detached bottle shops",Notification,MN-15034,AVC OPERATIONS PTY LIMITED; 81 607 832 299,Central Hospitality Services Pty Ltd; 644 976 045; ATHENA HOSPITALITY GROUP PTY LTD; 35 636 190 960,Supermarkets and Grocery Retail; Accommodation and Hospitality,AUSTRALIAN VENUE CO LIMITED; 14 607 666 348,2026-08-06,Phase 1 - initial assessment,Under assessment,2026-09-17,42.0,31.0,,,,,"4123 Liquor Retailing; 4400 Accommodation; 4511 Cafes and Restaurants; 4520 Pubs, Taverns and Bars",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/australian-venue-co-%E2%80%93-assets-of-black-nugget-hotel-motel-bartletts-tavern-and-all-associated-detached-bottle-shops,,"The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 14 August 2026 via email to mergers@accc.gov.au with the title Submission re: Australian Venue Co – assets of Black Nugget Hotel Motel, Bartletts Tavern and all associated detached bottle shops. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 7 Aug 2026 Questionnaire - Australian Venue Co – assets of Black Nugget Hotel Motel, Bartletts Tavern and all associated detached bottle shops Attachment 116.23 KB",Y,"7 Aug 2026: Questionnaire - Australian Venue Co – assets of Black Nugget Hotel Motel, Bartletts Tavern and all associated detached bottle shops",2026-08-07T15:59:28+10:00,2026-08-11T01:56:49.469233Z
Johns Lyng Group – C&M Build Group,Notification,MN-75035,Johns Lyng Group (Nominee) Pty Ltd as trustee for the Johns Lyng Unit Trust; 57 246 253 025,C&M Central Pty Ltd; 649 711 053; C&M Central Unit Trust; 47 351 736 164,Construction and Engineering; Asset Management and Investment,JOHNS LYNG GROUP LIMITED; 86 620 466 248; SHERWOOD TOPCO LTD; 54 688 487 103,2026-08-05,Phase 1 - initial assessment,Under assessment,2026-09-16,42.0,31.0,,,,,3019 Other Residential Building Construction; 3020 Non-Residential Building Construction; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/johns-lyng-group-%E2%80%93-cm-build-group,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 12 August 2026 via email to mergers@accc.gov.au with the title Submission re: Johns Lyng Group – C&M Build Group. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited read more 5 Aug 2026 Questionnaire - Johns Lyng Group - C&M Build Group Attachment 116.29 KB,Y,5 Aug 2026: Questionnaire - Johns Lyng Group - C&M Build Group,2026-08-05T15:03:33+10:00,2026-08-11T01:56:49.469233Z
Danone – MADE,Notification,MN-55031,Minogue BidCo,Made (MJV) Pte Ltd; UEN 202321698C; TUCKER HOLDCO PTY LTD; 85 644 211 772,Food and Beverage Manufacturing; Wholesale Trade,Compagnie Gervais Danone; SIREN 552 067 092; Société Anonyme des Eaux Minérales d’Évian S.A.; SIREN 797 080 850; NUTRICIA AUSTRALIA PTY LIMITED; 99 076 246 752; DANONE SAPUTO DAIRY AUSTRALIA PTY LTD; 32 143 172 258; Made Brands Pte Ltd; UEN 202239762W; Minogue HoldCo; Danone S.A.; SIREN 552 032 534,2026-08-05,Phase 1 - initial assessment,Under assessment,2026-09-16,42.0,31.0,,,,,1131 Milk and Cream Processing; 1133 Cheese and Other Dairy Product Manufacturing; 1140 Fruit and Vegetable Processing; 1199 Other Food Product Manufacturing n.e.c.; 3603 Dairy Produce Wholesaling; 3609 Other Grocery Wholesaling,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/danone-%E2%80%93-made,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 13 August 2026 via email to mergers@accc.gov.au with the title Submission re: Danone – MADE. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited read more 6 Aug 2026 Questionnaire - Danone - MADE Attachment 116.02 KB,Y,6 Aug 2026: Questionnaire - Danone - MADE,2026-08-06T11:00:12+10:00,2026-08-11T01:56:49.469233Z
Eli Lilly and Company / AtaiBeckley Inc.,Notification,MN-30030,Eli Lilly and Company; 35-0470950 (IRS Employer Identification Number),AtaiBeckley Inc.; 41-3357923 (IRS Employer Identification Number),Pharmaceutical Manufacturing; Asset Management and Investment; Professional Services,Albali Acquisition Corporation; 10665981(Delaware File Number),2026-08-05,Phase 1 - initial assessment,Under assessment,2026-09-16,42.0,31.0,,,,,1841 Human Pharmaceutical and Medicinal Product Manufacturing; 6240 Financial Asset Investing; 6910 Scientific Research Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/eli-lilly-and-company-ataibeckley-inc,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 12 August 2026 via email to mergers@accc.gov.au with the title Submission re: Eli Lilly - AtaiBeckley. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 6 Aug 2026 Questionnaire - Eli Lilly - AtaiBeckley Attachment 116.28 KB,Y,6 Aug 2026: Questionnaire - Eli Lilly - AtaiBeckley,2026-08-06T13:20:38+10:00,2026-08-11T01:56:49.469233Z
Danaher (Leica Biosystems) - StatLab,Notification,MN-15031,Danaher Corporation; EIN59-1995548,SLMP Intermediate Holdings Inc; EIN86-1436842,Manufacturing; Wholesale Trade; Aged Care,,2026-08-05,Phase 1 - initial assessment,Under assessment,2026-09-16,42.0,31.0,,,,,2412 Medical and Surgical Equipment Manufacturing; 2419 Other Professional and Scientific Equipment Manufacturing; 3491 Professional and Scientific Goods Wholesaling; 8520 Pathology and Diagnostic Imaging Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/danaher-leica-biosystems-statlab,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 13 August 2026 via email to mergers@accc.gov.au with the title Submission re: Danaher (Leica Biosystems) – StatLab. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 6 Aug 2026 Questionnaire - Danaher (Leica Biosystems) - StatLab Attachment 116.26 KB,Y,6 Aug 2026: Questionnaire - Danaher (Leica Biosystems) - StatLab,2026-08-06T10:40:57+10:00,2026-08-11T01:56:49.469233Z
Modaxo - Conduent,Notification,MN-25040,"Modaxo France Holdings SAS; Modaxo Group, Inc; Modaxo USA Holdings, Inc","CONDUENT VICTORIA TICKETING SYSTEM PTY LTD; 87 667 867 950; Conduent Business Services, LLC; CONDUENT BUSINESS SERVICES (AUSTRALIA) PTY. LTD.; 58 136 828 914; CONDUENT BUSINESS SOLUTIONS (FRANCE) SAS; 20 251 484 486",Professional Services; Business Services,TRAPEZE GROUP ASIA PACIFIC PTY LTD; 16 010 832 318; CONSTELLATION SOFTWARE AUSTRALIA PTY LTD; 50 141 627 232; MODAXO GROUP AUSTRALIA PTY LTD; 44 166 272 724; Constellation Software Inc; LEI 549300B6PYHMCTDWQV29; TRAPEZE MANAGEMENT HOLDINGS PTY LTD; 97 120 264 913,2026-08-05,Phase 1 - initial assessment,Under assessment,2026-09-16,42.0,31.0,,,,,7000 Computer System Design and Related Services; 7299 Other Administrative Services n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/modaxo-conduent,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the Questionnaire should be provided by 12 August 2026 via email to mergers@accc.gov.au with the title Submission re: Modaxo - Conduent. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 6 Aug 2026 Modaxo Conduent - Questionnaire Attachment 116.26 KB,Y,6 Aug 2026: Modaxo Conduent - Questionnaire,2026-08-06T13:25:53+10:00,2026-08-11T01:56:49.469233Z
