Metric,Value,Notes
,,
Last scrape run (UTC),2026-09-16 11:06:04.845750,
Last scrape run (AEST),16 Sep 2026  21:06,UTC + 10 hrs (no DST adjustment)
,,
Total entries monitored,665,
New entries this run,2,
Changed entries this run,0,
Removed entries this run,0,
,,
Auto-run schedule,Mon to Fri,8am / 11am / 2pm / 5pm AEST
,,
,,
CHANGES IN THIS RUN,,
,,
NEW ENTRIES (2),Case Number,URL
+ Oakley Capital – Graphwise,WA-75053,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/oakley-capital-%E2%80%93-graphwise
+ Sims – business assets of OneStop Metal Recycling in TAS,WA-80040,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/sims-%E2%80%93-business-assets-of-onestop-metal-recycling-in-tas
,,
,,
CHANGES IN THE LAST 7 DAYS,,
,,
NEW ENTRIES (21),Case Number,Detected (AEST)
+ PSP Investments - AAA Egg Company,MN-55024,10 Sep  13:47
+ Merck KGaA / Bio-Techne,MN-25049,10 Sep  13:47
+ EQT Fund Management – Melbourne Storm,WA-70037,10 Sep  20:54
+ Karmo - Simplr,MN-15030,10 Sep  20:54
+ ENEOS – Chevron Australia Downstream,MN-65036,11 Sep  13:44
+ Eli Lilly – Merida Biosciences,MN-80042,11 Sep  13:44
+ Alcoa – South32 aluminium assets,MN-25047,11 Sep  13:44
+ Pacific Investment Management Company – Ingenico,WA-85045,11 Sep  20:52
"+ Impression Dental Group - Blackburn Dental Centre, VIC",WA-01120,11 Sep  20:52
+ Alceon – Engage Squared,WA-50037,11 Sep  20:52
+ Bupa Health Services - Partnered Health,MN-50028,14 Sep  14:03
+ EQT Fund Management - Intertek,MN-75045,14 Sep  22:12
+ Challenger - Channel Capital and Fidante,MN-65033,14 Sep  22:12
+ Amplitude / OG Energy - Artisan Gas Field,MN-01121,14 Sep  22:12
"+ Star Hotels Group - Ocean International Hotel, Mackay QLD",WA-15041,14 Sep  22:12
+ Blackstone - MRC Dickson Holdings,WA-60041,14 Sep  22:12
+ Covetrus — MWI,MN-55037,15 Sep  14:02
"+ National Dental Care – business assets comprising the Steve King Dental Group, QLD",WA-10036,15 Sep  21:22
"+ National Dental Care - Grove Village Dental Centre, South Australia",WA-40042,15 Sep  21:22
+ Itochu Corporation – TC Skyward Aviation (Aviation Capital Group),WA-55035,15 Sep  21:22
+ Kirin – Jamieson Wellness,WA-60042,15 Sep  21:22
,,
"CHANGED ENTRIES (19 entries, 19 change events)",Field changed,Old value  →  New value  (AEST)
~ Holcim Australia – Burdetts Group,MN-05044,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/holcim-australia-%E2%80%93-burdetts-group
,Acquisition Status,Under assessment  →  Assessment completed  (10 Sep  13:47)
,Accc Determination,  →  Approved  (10 Sep  13:47)
,Determination Publication Date,  →  10 September 2026  (10 Sep  13:47)
,Last Modified Accc,2026-08-10T18:02:35+10:00  →  2026-09-10T10:28:31+10:00  (10 Sep  13:47)
,Decisions Docs,"  →  [{'date': '10 Sep 2026', 'description': ""Holcim - Burdett's - Phase 1 Determinat  (10 Sep  13:47)"
,,
"~ Endeavour Group – retail liquor site in Horsham, VIC",MN-10027,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/endeavour-group-%E2%80%93-retail-liquor-site-in-horsham-vic
,Acquisition Status,Under assessment  →  Assessment completed  (10 Sep  20:54)
,Accc Determination,  →  Approved  (10 Sep  20:54)
,Determination Publication Date,  →  10 September 2026  (10 Sep  20:54)
,Last Modified Accc,2026-08-25T14:32:02+10:00  →  2026-09-10T13:28:37+10:00  (10 Sep  20:54)
,Consultation Text,The period for providing submissions or information in response to the ACCC's Ph  →    (10 Sep  20:54)
,Decisions Docs,"  →  [{'date': '10 Sep 2026', 'description': 'Endeavour - retail liquor site in Horsh  (10 Sep  20:54)"
,,
~ Peter Warren - Wakeling Automotive,MN-90028,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/peter-warren-wakeling-automotive-0
,Determination Publication Date,4 September 2026  →  3 September 2026  (10 Sep  20:54)
,Last Modified Accc,2026-09-04T09:15:56+10:00  →  2026-09-10T16:44:43+10:00  (10 Sep  20:54)
,Decisions Docs,"[{'date': '4 Sep 2026', 'description': 'Peter Warren - Wakeling Automotive - Pha  →  [{'date': '9 Sep 2026', 'description': 'ACCC accepted s87B undertaking', 'url':   (10 Sep  20:54)"
,,
